CS_KEY,CS,
required,optional,
string,string,
id,text,
字符串ID（语言包内字符串id中不可以有特殊的（程序写死）命名规则）,文本 （不可以有重复文本内容）,策划备注
mail_title_1001,欢迎加入游戏！,
mail_text_1001,感谢您加入游戏，在这里您可以尽情的玩耍，并获取自己喜欢的装扮，有任何问题可以联系我们官方人员，祝您游戏愉快！,
mail_title_1011,新人奖励！,
mail_text_1011,为了感谢您初次进入游戏，我们为您准备了一点小小的礼物，祝您游戏愉快！,
main_mission_text,完成关卡挑战可以获得奖杯，来解锁更多的奖励！每个奖励只可以领取一次！,
shop_name_skin,皮肤,
shop_name_recharge,充值,
login_message_1,游戏需要更新，资源包大概{0},
login_message_2,建议wifi环境下下载!,
login_message_3,当前服务器维护中，暂时无法登录！,
login_message_4,预计我们尽快结束维护，给您带来的不便敬请谅解。,
login_message_5,很抱歉！当前服务器人数已满！,
login_message_6,请选择其他服务器。给您带来的不便敬请谅解！,
login_message_7,是否注销当前账号？,
login_message_8,更新提示,
login_message_9,版本更新，战报回放失效,
login_message_10,维护提示,
login_message_11,系统提示,
login_message_12,游戏公告,
login_message_13,注销,
login_message_14,我知道了,
login_message_15,重新选择,
login_message_16,退出游戏,
login_message_17,前往下载,
login_message_18,更新,
login_message_19,维护,
login_message_20,流畅,
login_message_21,爆满,
login_message_22,退出,
login_message_23,重试,
login_message_24,更新失败,
login_message_25,资源更新失败,
login_message_26,请检查您的网络连接，确保更新正常,
login_message_27,解压失败,
login_message_28,资源解压失败，请重试！,
login_message_29,当前账号已在其他设备登录，您已被强制断开服务器连接，如果不是您本人操作，请立即修改密码！,
login_message_30,服务器维护中，您已被强制断开服务器连接。请留意官方维护信息，给您带来的不便，敬请谅解。,
login_message_31,获取服务器列表失败！,
login_message_32,游戏服务器连接失败 ,
login_message_33,网络错误：TCP,
login_message_34,重连,
login_message_35,连接登陆服务器：TCP,
login_message_36,版本,
login_message_37,下载文件校验失败！,
login_message_38,上次更新未完成，是否继续下载？,
login_message_39,已下载：,
login_message_40,下载速度：,
login_message_41,当前手机存储空间不足，无法下载更新包！请清理手机后重试\n当前手机存储空间：%s  更新包所需存储空间：%s,
login_message_42,版本号：,
login_message_43,加载资源中……,
login_message_44,读取版本描述文件失败！,
login_message_45,下载,
login_message_46,是否继续下载？,
login_message_47,解压,
login_message_48,是否继续解压？,
login_message_49,"停留界面时间过长,需要重新加载!",
mission_list_des1,完成1次关卡挑战,
mission_list_des2,完成2次关卡挑战,
mission_list_des3,完成3次关卡挑战,
mission_list_des4,完成4次关卡挑战,
mission_list_des5,完成5次关卡挑战,
mission_list_des6,完成6次关卡挑战,
mission_list_des7,完成7次关卡挑战,
mission_list_des8,完成8次关卡挑战,
liaotian_chatLimit,最多可输入{0}个字,
liaotian_sys,系统：,
liaotian_unread,未读消息{0}条,
liaotian_private,私聊,
liaotian_team,队伍,
liaotian_world,世界 ,
liaotian_send,发送,
friend_tab_1,好友列表,
friend_tab_2,搜索玩家,
friend_tab_3,好友申请,
friend_none_text,你还没有好友，可以搜索添加好友~,
friend_nonerecord_text,暂时没有好友申请,
friend_noresult_text,没有找到对应玩家,
friend_refresh,推荐好友已刷新,
friend_pass,添加好友完成,
friend_refuse,已拒绝好友申请,
friend_refuseall,一键拒绝,
friend_refuse_text,是否一键拒绝所有申请？,
friend_request_repeat,已向该玩家发送过申请，请耐心等待,
liaotian_friend_lock,请先添加好友！,
Net_Notice_1,网络连接超时！,
Net_Notice_2,超时消息ID：,
system_1,确定,
friend_search_info,请输入玩家昵称,
fangchenmi_message_1,今日游玩时间已达到规定时长，请明日再来,
fangchenmi_message_2,依国家规定，22时后未成年不得游玩游戏，明日8时后可继续游玩,
fangchenmi_message_3,今日累计游玩已超过1小时，请合理安排时间，适当选择休息，祝您游戏愉快,
fangchenmi_message_4,今日游玩时间即将达到规定时长，5 分钟后游戏角色将自动下线,
fangchenmi_message_5,22时后未成年人不得游玩游戏，5分钟后将自动返回登陆界面，明日8时后可继续游玩,
fangchenmi_message_6,未实名用户只能游玩1小时，请进行实名认证,
fangchenmi_message_7,获取在线时长失败,
fangchenmi_message_8,当前账号未进行实名认证，只能游玩一小时，实名认证后可正常游玩，祝您游戏愉快！,
fangchenmi_message_9,已累计游玩将近1小时，请尽快完成实名认证，否则5分钟后将强制退出游戏,
fangchenmi_message_10,今日累计游玩已超过2小时，请合理安排时间，适当选择休息，祝您游戏愉快,
fangchenmi_message_11,生日信息不合法,
fangchenmi_message_12,未实名用户22点后不可登陆游戏，请尽快进行实名验证,
fangchenmi_message_13,完成实名认证后才能继续游玩,
fangchenmi_message_14,未实名用户无法使用充值服务，请先实名,
fangchenmi_message_15,单笔充值金额超过%d元，无法充值,
fangchenmi_message_16,充值后本月累计充值金额将超过%d元，无法充值,
fangchenmi_message_17,未满8周岁用户无法使用充值服务,
fangchenmi_message_18,无法充值,
fangchenmi_message_19,根据国家相关规定，%s周岁以上至未满%s周岁玩家，单笔充值金额不超过%s元，每月累计充值金额不超过%s元,
fangchenmi_message_20,"当前账号认证身份为未成年,根据国家规定,每日最大累计游戏时间为 2 小时.实际年龄满 18 周岁后,游戏时间限制自动解除,祝您游戏愉快!",
fangchenmi_message_21,"根据国家规定,未成年每日 [ee5252]22[-] 时至次日 [ee5252]8[-] 时不得游玩游戏,今日可游玩时长: [ee5252]%d[-] 分钟,今日累计在线时长: [ee5252]%d[-] 分钟",
fangchenmi_message_22,"当前账号未实名,今日可游玩时长: [ee5252]%d[-] 分钟,今日累计在线时长: [ee5252]%d[-] 分钟",
